Price,Close,High,Low,Open,Volume
Ticker,KO,KO,KO,KO,KO
Date,,,,,
2025-01-02,61.386993408203125,62.290327083764495,61.16860379869834,61.893255754983585,12991000
2025-01-03,61.29765319824219,61.62523761597134,61.168604447007716,61.44655589480141,10403200
2025-01-06,60.364540100097656,61.11897108381982,60.215637404496505,61.04948416900671,17924200
2025-01-07,60.394317626953125,61.26787226019631,60.17592802195414,60.662340200337496,17799600
2025-01-08,61.2579460144043,61.317507851065805,60.48366107156929,60.543222908230796,14412400
2025-01-10,60.62263488769531,61.19838794834586,60.285125386875,61.12890103230223,22425000
2025-01-13,61.198387145996094,61.39691902537334,60.26527065121039,60.68219592875893,18016200
2025-01-14,61.58552932739258,61.61530835181086,60.85094850213456,61.20831194216533,16658300
2025-01-15,61.3175048828125,62.16127670086423,61.2281640255215,61.87340397115123,16187200
2025-01-16,61.79399108886719,61.84362405929883,60.870803449177615,60.9700693900409,12585500
2025-01-17,62.25061798095703,62.31017981513981,61.71457283357027,61.85355044666343,17948900
2025-01-21,61.96274185180664,62.766809577938204,61.843621969445486,62.43922895475683,19817100
2025-01-22,61.327430725097656,61.83369685163256,61.20831084281117,61.66494021387,18191900
2025-01-23,61.079261779785156,61.52596606949709,60.92043400863789,61.34728435361232,16528400
2025-01-24,61.46640396118164,61.55574481872562,60.989920649864665,61.267872088197464,19244600
2025-01-27,63.402122497558594,63.70985297152916,62.01238039852861,62.40944794678594,20742900
2025-01-28,61.90318298339844,63.57087646135838,61.8237672050419,63.04475639662816,14956000
2025-01-29,62.36974334716797,62.895859643136625,62.09179190016794,62.1017207661784,11325600
2025-01-30,63.580806732177734,63.81904649900702,62.76681013304467,63.38226728189863,13201000
2025-01-31,63.01498031616211,63.461684623398604,62.92563945471481,63.23336993008949,12102100
2025-02-03,62.885929107666016,63.16388054728714,61.972670370096964,62.71717625749673,12067900
2025-02-04,62.21091079711914,63.16388122108877,61.893255251380204,63.144027276135986,15678000
2025-02-05,62.657615661621094,62.82637230187841,62.131499369221466,62.26054811921201,10686800
2025-02-06,62.89585876464844,63.27307614596719,62.449154469238444,63.15395247602265,13423400
2025-02-07,63.37234115600586,63.45175314805299,62.806516985691296,62.965344756538315,13184700
2025-02-10,64.07714080810547,64.17640674155113,63.19365733872751,63.6304327473421,16154300
2025-02-11,67.10479736328125,67.17428427811407,65.92351981112313,67.00553142402087,30589100
2025-02-12,68.2066650390625,68.31585984162854,66.38014756614976,66.38014756614976,26033800
2025-02-13,68.99088287353516,69.10007768252483,68.25630580956408,68.49454558667519,24393100
2025-02-14,68.36549377441406,69.51699222642839,68.25629897635599,68.85190214626031,20779100
2025-02-18,68.54418182373047,68.86183738196597,67.91879199999694,68.04784454064337,15569100
2025-02-19,69.55670166015625,69.61625970641883,68.6632930986907,68.70300098736755,16032300
2025-02-20,69.52692413330078,69.55670315707295,68.91146320582254,69.19933972479598,13398000
2025-02-21,70.82732391357422,71.07549253806012,69.61625981432218,69.80487039245318,21662300
2025-02-24,70.07289123535156,71.20454716391345,69.81480131121985,70.32105986713593,21418400
2025-02-25,70.96630096435547,71.24424862465753,70.21187376453723,70.34091872867583,21555600
2025-02-26,70.28135681152344,70.75783632481553,70.0133304584795,70.74790745934956,14531200
2025-02-27,70.35084533691406,71.01593544179289,69.90413726275992,70.20194264552934,16789500
2025-02-28,70.6883544921875,71.0457179395841,70.04311451363778,70.92659426594994,22167400
2025-03-03,71.79022216796875,71.82993005824459,69.2191987540306,69.72545731465965,21717600
2025-03-04,69.67582702636719,72.1178054382902,69.36809277498888,71.54205239868492,25411900
2025-03-05,69.56663513183594,70.22179640461985,69.32838778400009,69.38795340771198,23933600
2025-03-06,69.94384765625,70.01333457158333,68.94124424343562,69.8942184730152,21694000
2025-03-07,70.90673828125,71.29388072187022,69.13977892180279,69.13977892180279,28393300
2025-03-10,70.92658996582031,72.68362807124566,70.79754500733644,71.43285608118927,25251200
2025-03-11,70.51959991455078,71.51227445010441,70.09274956132249,71.3534428891331,28076400
2025-03-12,69.42765808105469,70.21187185761129,69.22911863372708,69.85450842592712,18923300
2025-03-13,69.11000061035156,69.73538281159506,68.77248734606556,69.73538281159506,15746600
2025-03-14,69.16000366210938,69.26000213623047,68.37999725341797,68.51000213623047,14205100
2025-03-17,70.12000274658203,70.16999816894531,69.08000183105469,69.23999786376953,15634800
2025-03-18,69.37999725341797,70.19000244140625,69.30000305175781,70.11000061035156,12657600
2025-03-19,69.27999877929688,69.37999725341797,68.54000091552734,68.55000305175781,14780000
2025-03-20,69.70999908447266,69.80999755859375,69.08999633789062,69.30999755859375,16295300
2025-03-21,68.66999816894531,69.97000122070312,68.18000030517578,69.70999908447266,47479500
2025-03-24,68.94999694824219,69.08000183105469,68.33000183105469,68.80000305175781,12575400
2025-03-25,68.80999755859375,69.08000183105469,68.5999984741211,68.94999694824219,12513900
2025-03-26,70.0199966430664,70.3499984741211,68.9000015258789,68.91999816894531,14478200
2025-03-27,70.73999786376953,70.98999786376953,70.06999969482422,70.18000030517578,11663400
2025-03-28,70.37000274658203,71.31999969482422,69.52999877929688,70.80999755859375,17412900
2025-03-31,71.62000274658203,71.94000244140625,70.48999786376953,70.7300033569336,24016900
2025-04-01,71.87000274658203,71.91000366210938,71.19000244140625,71.68000030517578,15309100
2025-04-02,71.33000183105469,72.36000061035156,71.05000305175781,71.95999908447266,14606500
2025-04-03,73.18000030517578,73.94999694824219,72.31999969482422,72.4800033569336,24959600
2025-04-04,69.93000030517578,73.01000213623047,69.79000091552734,72.41999816894531,26517300
2025-04-07,68.37000274658203,69.37999725341797,66.05000305175781,66.2300033569336,34258400
2025-04-08,68.41999816894531,69.9800033569336,67.76000213623047,68.95999908447266,22774400
2025-04-09,69.94999694824219,70.47000122070312,67.27999877929688,67.91999816894531,27918700
2025-04-10,70.76000213623047,71.20999908447266,68.9800033569336,70.19000244140625,22450200
2025-04-11,71.43000030517578,71.8499984741211,70.54000091552734,70.91000366210938,19988200
2025-04-14,72.44999694824219,72.66000366210938,70.93000030517578,71.30000305175781,13930200
2025-04-15,71.86000061035156,72.62999725341797,71.72000122070312,72.62000274658203,14965500
2025-04-16,71.68000030517578,72.66999816894531,71.38999938964844,72.36000061035156,15276200
2025-04-17,73.0,73.43000030517578,71.72000122070312,71.9000015258789,20746800
2025-04-21,72.7699966430664,73.47000122070312,71.81999969482422,73.37999725341797,16037200
2025-04-22,73.9000015258789,74.37999725341797,72.91999816894531,73.0,15613500
2025-04-23,73.30000305175781,73.94999694824219,72.37999725341797,73.29000091552734,16353900
2025-04-24,72.5199966430664,73.43000030517578,72.30000305175781,73.0199966430664,16893900
2025-04-25,71.91000366210938,72.91999816894531,71.12999725341797,72.6500015258789,16316000
2025-04-28,71.79000091552734,72.26000213623047,71.30999755859375,72.08000183105469,15997500
2025-04-29,72.3499984741211,72.70999908447266,70.27999877929688,71.19000244140625,16244100
2025-04-30,72.55000305175781,73.4800033569336,71.69000244140625,73.3499984741211,21074700
2025-05-01,71.29000091552734,72.04000091552734,71.2300033569336,72.0,18034200
2025-05-02,71.6500015258789,71.81999969482422,71.0999984741211,71.5,12629600
2025-05-05,71.69999694824219,71.80000305175781,71.01000213623047,71.66999816894531,11932700
2025-05-06,71.72000122070312,71.9000015258789,71.16000366210938,71.68000030517578,12705500
2025-05-07,72.4000015258789,72.69000244140625,71.66999816894531,71.72000122070312,15018200
2025-05-08,71.16999816894531,72.47000122070312,71.12999725341797,72.19999694824219,14371100
2025-05-09,70.5199966430664,71.1500015258789,70.45999908447266,70.98999786376953,11228900
2025-05-12,69.52999877929688,70.33000183105469,68.69999694824219,70.1500015258789,21539000
2025-05-13,68.95999908447266,69.69000244140625,68.87000274658203,69.58999633789062,14389100
2025-05-14,69.16000366210938,69.33999633789062,68.58000183105469,68.87999725341797,16286800
2025-05-15,71.61000061035156,71.7300033569336,69.5999984741211,69.69999694824219,19817100
2025-05-16,72.0,72.26000213623047,71.43000030517578,71.86000061035156,18441200
2025-05-19,71.93000030517578,72.16999816894531,71.63999938964844,72.02999877929688,13282800
